ObjectID;Numéro du bureau de vote;Libellé du bureau de vote;Adresse;Code Postal;Identifiant du bureau de vote;geo_shape;geo_point_2d
733;51;ECOLE ELEMENTAIRE;142 RUE DES POISSONNIERS;75018;18-51;"{""type"": ""Point"", ""coordinates"": [2.353021906913256, 48.89681367058691]}";48.8968136706, 2.35302190691
740;58;ANNEXE DU COLLEGE MARX DORMOY;8 RUE JEAN FRANCOIS LEPINE;75018;18-58;"{""type"": ""Point"", ""coordinates"": [2.358257707124242, 48.88617656447711]}";48.8861765645, 2.35825770712
745;63;ECOLE ELEMENTAIRE;33 RUE DE L EVANGILE;75018;18-63;"{""type"": ""Point"", ""coordinates"": [2.365122401905097, 48.89406873520581]}";48.8940687352, 2.36512240191
746;64;ECOLE ELEMENTAIRE;33 RUE DE L EVANGILE;75018;18-64;"{""type"": ""Point"", ""coordinates"": [2.365122401905097, 48.89406873520581]}";48.8940687352, 2.36512240191
747;65;ECOLE ELEMENTAIRE;2 bis RUE CHARLES HERMITE;75018;18-65;"{""type"": ""Point"", ""coordinates"": [2.368959948611415, 48.89989930601202]}";48.899899306, 2.36895994861
752;2;ECOLE ELEMENTAIRE;43 RUE ARMAND CARREL;75019;19-2;"{""type"": ""Point"", ""coordinates"": [2.376675111989039, 48.88265802990597]}";48.8826580299, 2.37667511199
753;3;ECOLE ELEMENTAIRE;43 RUE ARMAND CARREL;75019;19-3;"{""type"": ""Point"", ""coordinates"": [2.376675111989039, 48.88265802990597]}";48.8826580299, 2.37667511199
754;4;ECOLE MATERNELLE;47 RUE ARMAND CARREL;75019;19-4;"{""type"": ""Point"", ""coordinates"": [2.375784992592191, 48.88269977068653]}";48.8826997707, 2.37578499259
755;5;COLLEGE EDOUARD PAILLERON;33 RUE EDOUARD PAILLERON;75019;19-5;"{""type"": ""Point"", ""coordinates"": [2.378704298183929, 48.88125001310705]}";48.8812500131, 2.37870429818
759;9;ECOLE MATERNELLE;65 AVENUE SIMON BOLIVAR;75019;19-9;"{""type"": ""Point"", ""coordinates"": [2.377706858100102, 48.87636370593844]}";48.8763637059, 2.3777068581
761;11;ECOLE ELEMENTAIRE;67 AVENUE SIMON BOLIVAR;75019;19-11;"{""type"": ""Point"", ""coordinates"": [2.377275255466353, 48.87635949199671]}";48.876359492, 2.37727525547
764;14;ECOLE ELEMENTAIRE;13 RUE RAMPAL;75019;19-14;"{""type"": ""Point"", ""coordinates"": [2.379654695456544, 48.87386995397194]}";48.873869954, 2.37965469546
765;15;ECOLE ELEMENTAIRE;5 RUE DES ALOUETTES;75019;19-15;"{""type"": ""Point"", ""coordinates"": [2.385251300251811, 48.87722543152153]}";48.8772254315, 2.38525130025
769;19;ECOLE MATERNELLE;29 RUE DE LA PREVOYANCE;75019;19-19;"{""type"": ""Point"", ""coordinates"": [2.394555612426077, 48.88370728018692]}";48.8837072802, 2.39455561243
775;25;ECOLE MATERNELLE;34 RUE MANIN;75019;19-25;"{""type"": ""Point"", ""coordinates"": [2.389431824242419, 48.88350001014224]}";48.8835000101, 2.38943182424
776;26;ECOLE MATERNELLE;30 RUE MANIN;75019;19-26;"{""type"": ""Point"", ""coordinates"": [2.389052328464051, 48.88335334570312]}";48.8833533457, 2.38905232846
788;38;ECOLE ELEMENTAIRE B;59 RUE DE ROMAINVILLE;75019;19-38;"{""type"": ""Point"", ""coordinates"": [2.403232061567166, 48.87737811062239]}";48.8773781106, 2.40323206157
790;40;ECOLE MATERNELLE;59 bis RUE DE ROMAINVILLE;75019;19-40;"{""type"": ""Point"", ""coordinates"": [2.403382149991614, 48.87739019926954]}";48.8773901993, 2.40338214999
800;50;ECOLE MIXTE;141 BOULEVARD MACDONALD;75019;19-50;"{""type"": ""Point"", ""coordinates"": [2.379741519281173, 48.8986262623703]}";48.8986262624, 2.37974151928
805;55;ECOLE ELEMENTAIRE A;41 RUE DE TANGER;75019;19-55;"{""type"": ""Point"", ""coordinates"": [2.370236418745159, 48.88776813915114]}";48.8877681392, 2.37023641875
806;56;ECOLE ELEMENTAIRE B;41 RUE DE TANGER;75019;19-56;"{""type"": ""Point"", ""coordinates"": [2.370236418745159, 48.88776813915114]}";48.8877681392, 2.37023641875
807;57;ECOLE MATERNELLE;41 RUE DE TANGER;75019;19-57;"{""type"": ""Point"", ""coordinates"": [2.370236418745159, 48.88776813915114]}";48.8877681392, 2.37023641875
821;1;MAIRIE D'ARRONDISSEMENT;6 PLACE GAMBETTA;75020;20-1;"{""type"": ""Point"", ""coordinates"": [2.3989977002640392, 48.865091139066706]}";48.8650911391, 2.39899770026
823;3;MEDIATHEQUE MARGUERITE DURAS;115 RUE DE BAGNOLET;75020;20-3;"{""type"": ""Point"", ""coordinates"": [2.403226998544119, 48.859838768718134]}";48.8598387687, 2.40322699854
824;4;ECOLE MATERNELLE;2 RUE DU CHER;75020;20-4;"{""type"": ""Point"", ""coordinates"": [2.400469451157333, 48.864393302979046]}";48.864393303, 2.40046945116
827;7;REFECTOIRE ECOLE ELEMENTAIRE;1 VILLA SOUCHET;75020;20-7;"{""type"": ""Point"", ""coordinates"": [2.400102006197054, 48.867358589039604]}";48.867358589, 2.4001020062
830;10;ECOLE MATERNELLE;61 RUE DE L ERMITAGE;75020;20-10;"{""type"": ""Point"", ""coordinates"": [2.393860320884776, 48.87266325617557]}";48.8726632562, 2.39386032088
832;12;ECOLE ELEMENTAIRE;108 RUE DE BELLEVILLE;75020;20-12;"{""type"": ""Point"", ""coordinates"": [2.387059244316508, 48.87457918963612]}";48.8745791896, 2.38705924432
844;24;ECOLE ELEMENTAIRE;18 RUE DU SURMELIN;75020;20-24;"{""type"": ""Point"", ""coordinates"": [2.403172597313253, 48.867935927083956]}";48.8679359271, 2.40317259731
846;26;REFECTOIRE ECOLE MATERNELLE;7 bis RUE BRETONNEAU;75020;20-26;"{""type"": ""Point"", ""coordinates"": [2.40297386208398, 48.867623531317285]}";48.8676235313, 2.40297386208
857;37;ECOLE MATERNELLE;9 RUE MOURAUD;75020;20-37;"{""type"": ""Point"", ""coordinates"": [2.407493070374952, 48.85493163399172]}";48.854931634, 2.40749307037
859;39;ECOLE MATERNELLE;18 RUE DU CLOS;75020;20-39;"{""type"": ""Point"", ""coordinates"": [2.407068200655762, 48.857226838573965]}";48.8572268386, 2.40706820066
864;44;ECOLE POLYVALENTE;17 CITE CHAMPAGNE;75020;20-44;"{""type"": ""Point"", ""coordinates"": [2.404208985019814, 48.85333032442994]}";48.8533303244, 2.40420898502
873;53;ECOLE ELEMENTAIRE;40 RUE DES PYRENEES;75020;20-53;"{""type"": ""Point"", ""coordinates"": [2.406501329141083, 48.8509089751079]}";48.8509089751, 2.40650132914
888;68;ECOLE ELEMENTAIRE;103 RUE DES AMANDIERS;75020;20-68;"{""type"": ""Point"", ""coordinates"": [2.388823859729471, 48.86743831901514]}";48.867438319, 2.38882385973
478;26;ECOLE MATERNELLE;33 RUE DE L AMIRAL ROUSSIN;75015;15-26;"{""type"": ""Point"", ""coordinates"": [2.300879736712544, 48.844593763648135]}";48.8445937636, 2.30087973671
479;27;ECOLE ELEMENTAIRE;35 RUE DE L AMIRAL ROUSSIN;75015;15-27;"{""type"": ""Point"", ""coordinates"": [2.2996263350616513, 48.844233152319575]}";48.8442331523, 2.29962633506
488;36;ECOLE ELEMENTAIRE;20 RUE FALGUIERE;75015;15-36;"{""type"": ""Point"", ""coordinates"": [2.31662566452595, 48.843230795767326]}";48.8432307958, 2.31662566453
510;58;ECOLE ELEMENTAIRE;1 RUE CORBON;75015;15-58;"{""type"": ""Point"", ""coordinates"": [2.3033421059770562, 48.836632741376384]}";48.8366327414, 2.30334210598
513;61;ECOLE ELEMENTAIRE;1 RUE CORBON;75015;15-61;"{""type"": ""Point"", ""coordinates"": [2.3033421059770562, 48.836632741376384]}";48.8366327414, 2.30334210598
514;62;ECOLE ELEMENTAIRE;1 RUE CORBON;75015;15-62;"{""type"": ""Point"", ""coordinates"": [2.3033421059770562, 48.836632741376384]}";48.8366327414, 2.30334210598
516;64;MAIRIE D'ARRONDISSEMENT;31 RUE PECLET;75015;15-64;"{""type"": ""Point"", ""coordinates"": [2.299884387584236, 48.84151574940015]}";48.8415157494, 2.29988438758
521;69;ECOLE ELEMENTAIRE;10 RUE SAINT LAMBERT;75015;15-69;"{""type"": ""Point"", ""coordinates"": [2.290904234802732, 48.83812666645462]}";48.8381266665, 2.2909042348
523;71;UFR STAPS - UNIVERSITE PARIS DESCARTES;1 RUE LACRETELLE;75015;15-71;"{""type"": ""Point"", ""coordinates"": [2.290691613364022, 48.83401653589063]}";48.8340165359, 2.29069161336
525;73;LYCEE LOUIS ARMAND;319 RUE LECOURBE;75015;15-73;"{""type"": ""Point"", ""coordinates"": [2.285557898634618, 48.83729055331395]}";48.8372905533, 2.28555789863
526;74;ECOLE ELEMENTAIRE;146 AVENUE FELIX FAURE;75015;15-74;"{""type"": ""Point"", ""coordinates"": [2.279313374806655, 48.83735652965273]}";48.8373565297, 2.27931337481
527;75;ECOLE ELEMENTAIRE;146 AVENUE FELIX FAURE;75015;15-75;"{""type"": ""Point"", ""coordinates"": [2.279313374806655, 48.83735652965273]}";48.8373565297, 2.27931337481
532;80;ECOLE MATERNELLE;72 RUE GUTENBERG;75015;15-80;"{""type"": ""Point"", ""coordinates"": [2.278600398595108, 48.84137866786394]}";48.8413786679, 2.2786003986
544;92;ECOLE POLYVALENTE;78 RUE DE LA CONVENTION;75015;15-92;"{""type"": ""Point"", ""coordinates"": [2.28478636418805, 48.8423991293724]}";48.8423991294, 2.28478636419
555;8;PETIT LYCEE JANSON DE SAILLY;24 RUE DECAMPS;75016;16-8;"{""type"": ""Point"", ""coordinates"": [2.279983907232503, 48.864270613845726]}";48.8642706138, 2.27998390723
571;24;LYCEE LA FONTAINE;8 RUE MERYON;75016;16-24;"{""type"": ""Point"", ""coordinates"": [2.256008884647321, 48.84436893180052]}";48.8443689318, 2.25600888465
581;34;LYCEE JEAN-BAPTISTE SAY;8 RUE CHARDON LAGACHE;75016;16-34;"{""type"": ""Point"", ""coordinates"": [2.267641394419075, 48.8462153432884]}";48.8462153433, 2.26764139442
582;35;LYCEE MOLIERE;38 RUE DE L ASSOMPTION;75016;16-35;"{""type"": ""Point"", ""coordinates"": [2.270962496061124, 48.854202997732074]}";48.8542029977, 2.27096249606
583;36;LYCEE MOLIERE;38 RUE DE L ASSOMPTION;75016;16-36;"{""type"": ""Point"", ""coordinates"": [2.270962496061124, 48.854202997732074]}";48.8542029977, 2.27096249606
606;59;ECOLE ELEMENTAIRE;50 RUE DES BELLES FEUILLES;75016;16-59;"{""type"": ""Point"", ""coordinates"": [2.280174057455866, 48.86891578607341]}";48.8689157861, 2.28017405746
615;68;ECOLE ELEMENTAIRE;21 RUE AMIRAL HAMELIN;75016;16-68;"{""type"": ""Point"", ""coordinates"": [2.291931610891922, 48.867418913612084]}";48.8674189136, 2.29193161089
616;1;MAIRIE D'ARRONDISSEMENT;18 RUE DES BATIGNOLLES;75017;17-1;"{""type"": ""Point"", ""coordinates"": [2.32209375678995, 48.884340831391285]}";48.8843408314, 2.32209375679
620;5;ECOLE ELEMENTAIRE;10 RUE BOURSAULT;75017;17-5;"{""type"": ""Point"", ""coordinates"": [2.320797460528211, 48.88295338754041]}";48.8829533875, 2.32079746053
622;7;ECOLE ELEMENTAIRE;10 RUE BOURSAULT;75017;17-7;"{""type"": ""Point"", ""coordinates"": [2.320797460528211, 48.88295338754041]}";48.8829533875, 2.32079746053
628;13;ECOLE ELEMENTAIRE;20 RUE JOUFFROY D ABBANS;75017;17-13;"{""type"": ""Point"", ""coordinates"": [2.310896769356502, 48.88650043570532]}";48.8865004357, 2.31089676936
629;14;ECOLE ELEMENTAIRE;20 RUE JOUFFROY D ABBANS;75017;17-14;"{""type"": ""Point"", ""coordinates"": [2.310896769356502, 48.88650043570532]}";48.8865004357, 2.31089676936
630;15;ECOLE MATERNELLE;8 RUE DES TAPISSERIES;75017;17-15;"{""type"": ""Point"", ""coordinates"": [2.307723292768648, 48.88848050421494]}";48.8884805042, 2.30772329277
632;17;COLLEGE BORIS VIAN;76 BOULEVARD BERTHIER;75017;17-17;"{""type"": ""Point"", ""coordinates"": [2.304461811929924, 48.89057693292147]}";48.8905769329, 2.30446181193
639;24;LYCEE D'ENSEIGNEMENT COMMERCIAL;1 RUE ARTHUR BRIERE;75017;17-24;"{""type"": ""Point"", ""coordinates"": [2.327430032475445, 48.895121026235735]}";48.8951210262, 2.32743003248
